제목,요약
무슨 일이든 해 보기도 전에 “나 못해. 못하겠어.”라는 말을 해요,"1. 아이의 문제행동: 무슨 일이든 해 보기도 전에 “나 못해. 못하겠어.”라는 말을 합니다.
   문제행동 분석: 아이가 새로운 도전이나 과제에 대해 자신감을 가지지 못하고, 실패에 대한 두려움이 크기 때문에 이러한 반응을 보입니다. 이는 과거의 실패 경험이나 부모나 주변 사람들의 기대에 대한 부담감에서 비롯될 수 있습니다.
   해결방안: 아이가 현실적으로 해낼 수 있는 목표를 구체적으로 정할 수 있게 도와주세요. 목표를 세우고 달성해 나가는 과정에서 가장 중요한 것이 노력이라는 것을 반드시 가르쳐 주세요. 성공만이 중요한 것이 아니라 성공과 실패, 이 두 가지 모두가 어떤 일을 하면서 겪을 수 있는 중요한 과정임을 알게 하는 것도 중요합니다. 예를 들어 아이가 성공했을 때는 ‘아, 이렇게 하는 것이 좋은 방법이구나.’를 배울 수 있고, 실패했을 때는 ‘아, 이렇게 하면 안 되는구나. 다음에는 다른 방법으로 해야 되겠다.’를 배울 수 있다면 이 역시 중요한 경험이 되겠지요. 부모는 아이의 작은 성취도 칭찬하고 격려하며, 실패했을 때도 긍정적인 피드백을 주어 아이가 도전을 두려워하지 않도록 도와야 합니다."
친구 장난감을 빼앗아서 움켜쥐고 돌려주지 않아요,"1. 아이의 문제행동: 친구 장난감을 빼앗아서 움켜쥐고 돌려주지 않아요.
   문제행동 분석: 아이가 친구의 장난감을 빼앗는 행동은 소유욕과 자기중심적인 사고에서 비롯될 수 있습니다. 이 시기의 아이들은 아직 타인의 감정을 이해하고 배려하는 능력이 충분히 발달하지 않았기 때문에, 자신이 원하는 것을 즉시 얻으려는 경향이 있습니다. 또한, 이러한 행동은 주의나 관심을 끌기 위한 수단일 수도 있습니다.
   해결방안: 부모가 대신 아이의 친구에게 사과하는 것이 좋습니다. 이는 아이에게 현실적으로 기대할 수 없는 행동을 강요하기보다는, 부모가 솔선수범하여 상대편 아이에게 사과함으로써 아이가 자연스럽게 미안한 감정을 느끼고, 상대를 배려하는 마음을 배울 수 있도록 돕는 방법입니다. 부모의 행동을 통해 아이는 존중과 배려의 중요성을 배우게 됩니다. 또한, 부모는 아이에게 장난감을 공유하는 것의 중요성과 친구와의 관계에서 배려하는 태도를 지속적으로 가르쳐야 합니다."
말을 알아듣는 것은 빠른 것 같은데 말문이 안 터졌어요,"1. 아이의 문제행동: 말을 알아듣는 것은 빠르지만, 말문이 터지지 않음.
   문제행동 분석: 아이가 언어로 표현하는 것에 대한 자신감이 부족하거나, 표현성 언어장애와 같은 언어 발달 문제를 겪고 있을 가능성이 있습니다. 부모가 아이의 언어 표현을 지나치게 정확하게 요구할 경우, 아이는 표현에 대한 부담을 느껴 아예 시도하지 않을 수 있습니다.
   해결방안: 부모는 아이가 언어로 표현하려는 시도 자체를 격려하고, 정확하지 않더라도 긍정적인 피드백을 주어야 합니다. 예를 들어, 아이가 사탕을 먹고 싶어 할 때 ""사탕 주세요.""라는 말을 요구하기보다는, ""사탕이 먹고 싶니? 이럴 때는 '엄마, 사탕 주세요. 사탕 먹고 싶어요. 사탕 줘요.'라고 하면 돼.""라고 세 번 정도 반복해서 들려주고, 아이가 표현하려는 시도를 보이면 사탕을 줍니다. 또한, 아이에게 말하는 방법과 내용을 반복해서 들려주고, 쉬운 표현은 따라 하게 유도합니다. 만약 아이가 표현성 언어장애를 가지고 있을 가능성이 있다면, 병원에서 전문적인 진단과 치료를 받는 것이 필요합니다."
소변을 가렸었는데 요새 다시 자다가 소변을 지려요,"1. 아이의 문제행동: 소변을 가렸었는데 요새 다시 자다가 소변을 지립니다.
   문제행동 분석: 아이가 다시 야뇨증을 보이는 원인은 여러 가지가 있을 수 있습니다. 스트레스나 불안과 같은 심리적 요인이 있을 수 있으며, 부모와의 갈등이 야뇨증을 악화시킬 수 있습니다. 또한, 특별한 스트레스 원인이 없더라도 내과적인 문제(예: 요로 감염, 당뇨 등)가 있을 수 있습니다.
   해결방안: 우선 아이를 안심시키는 것이 중요합니다. 아이가 야뇨증으로 인해 불안해하지 않도록 부모는 긍정적이고 지지적인 태도를 보여야 합니다. 만약 부모와의 갈등이 야뇨증의 원인이라면, 정신 치료를 통해 심리적 개입을 하는 것이 필요합니다. 또한, 특별한 스트레스 원인이 없는데도 야뇨증이 지속된다면, 소아과 전문의의 진찰을 받아 내과적인 문제를 확인하고 치료하는 것이 중요합니다."
너무 예민해서 조금만 소리가 나도 잠을 못 자요,"1. 아이의 문제행동: 너무 예민해서 조금만 소리가 나도 잠을 못 자요.
   문제행동 분석: 아이가 시계의 째깍째깍하는 소리, 뻐꾸기 시계 소리, 물이 똑똑 떨어지는 소리, 밖에서 들리는 텔레비전 소리 등에 예민하게 반응하는 것은 신경이 날카로워져서 수면에 방해를 받기 때문입니다. 이러한 소음들은 아이의 신경을 자극하여 잠을 뒤척이게 만들고, 불안감을 증폭시킬 수 있습니다. 또한, 부모의 언성이 높아지거나 싸우는 소리도 아이의 예민함을 더욱 악화시킬 수 있습니다.
   해결방안: 아이의 수면 환경을 조절하여 소음 요소를 제거하는 것이 필요합니다. 아이의 방을 외부 소음이 덜 들리는 곳으로 옮기고, 예민하게 반응하는 시계나 물 떨어지는 소리 등을 제거하거나 수리합니다. 가족들이 텔레비전을 큰 소리로 틀거나 큰 소리로 이야기하는 것을 삼가고, 부모가 싸우는 소리를 아이가 듣지 않도록 주의합니다. 이러한 환경 조절을 통해 아이가 좀 더 편안하게 잠을 잘 수 있도록 도와줍니다."
뚱뚱해요,"1. 아이의 문제행동: 아이가 뚱뚱하다고 느껴지며, 부모가 아이의 체중에 대해 걱정하고 있습니다.
   문제행동 분석: 부모가 아이의 체중에 대해 걱정하는 이유는 아이가 실제로 비만일 가능성 때문일 수 있습니다. 그러나 부모의 주관적인 판단만으로는 아이의 체중 상태를 정확히 알 수 없습니다. 아이가 약간 통통해 보일 수 있지만, 성장 차트에 따르면 정상 범주에 있을 가능성도 있습니다. 특히 3세 이전의 어린 아이는 뇌 발달과 성장을 위해 지방이 필요하므로, 이 시기에 식사를 제한하는 것은 오히려 해로울 수 있습니다.
   해결방안: 먼저 아이의 키와 몸무게를 성장 차트에 정확히 기록하여 아이가 정말 비만인지 아닌지를 명확히 판단해야 합니다. 만약 아이가 비만이 아니라면, 부모의 걱정을 줄일 수 있습니다. 만약 비만이 맞다면, 다이어트보다는 몸에 좋은 음식을 골고루 섭취하게 하고, 운동량을 늘리거나 운동 습관을 바꾸는 것이 더 현실적입니다. 가족 모두가 함께 생활 스타일을 바꾸고, 식습관과 운동습관을 개선하는 공동의 노력이 필요합니다. 이를 통해 아이가 건강하게 성장할 수 있도록 도와줄 수 있습니다."
"심심하면 성기를 만지기도 하고, 다리를 꼬고 힘을 주기도 해요. 책상 모서리에 비빌 때도 있어요.","1. 아이의 문제행동: 심심하면 성기를 만지거나, 다리를 꼬고 힘을 주며, 책상 모서리에 비비는 행동을 합니다.
   문제행동 분석: 이러한 행동은 주로 아이가 심심할 때 나타나는 자위행위로, 이는 아이가 주의를 끌거나 심심함을 해소하기 위한 방법일 수 있습니다. 아이가 이러한 행동을 할 때 무조건 야단치거나 수치심을 느끼게 하면 오히려 문제를 악화시킬 수 있습니다.
   해결방안: 아이가 심심하지 않도록 다양한 활동을 제공하여 주의를 환기시켜야 합니다. 아이와 함께 놀아주거나, 밖으로 데리고 나가서 활동을 하며 시간을 보내는 것이 좋습니다. 예를 들어, 마트에 같이 장을 보러 가거나, 엄마가 청소하는 것을 도와달라고 부탁하는 것도 좋은 방법입니다. 이러한 활동을 통해 아이가 심심함을 느끼지 않도록 하고, 자연스럽게 성적인 행동을 줄일 수 있습니다."
유치원(학교)에서 친구의 물건이나 돈을 가져와요,"1. 아이의 문제행동: 유치원(학교)에서 친구의 물건이나 돈을 가져옵니다.
   문제행동 분석: 6세 미만의 아이들은 소유 개념이 명확하지 않아 도둑질의 의도가 없더라도 허락 없이 남의 물건을 가져오는 경우가 있습니다. 이는 소유와 도둑질의 차이를 이해하지 못하기 때문입니다. 또한, 빌려 달라고 했는데 빌려주지 않아서 그냥 가져오는 경우도 있습니다.
   해결방안: 아이에게 도둑질과 소유 개념의 차이를 명확히 가르쳐야 합니다. 허락 없이 남의 물건을 가져오는 것은 도둑질이라는 것을 알려주고, 물건을 잃어버린 사람이 속상할 수 있다는 점도 설명해야 합니다. 아이가 가져온 물건이나 돈은 반드시 돌려주게 하고, 돌려줄 때는 ""허락 없이 가져가서 미안하다""고 사과하게 해야 합니다."
늘 하던 방식에서 조금만 다르거나 아니라고 생각되어 받아들이지 못하면 안 하려고 고집을 부려요. (고지식하고 융통성이 없어요.…,"1. 아이의 문제행동: 늘 하던 방식에서 조금만 다르거나 아니라고 생각되어 받아들이지 못하면 안 하려고 고집을 부립니다. (고지식하고 융통성이 없습니다.)
   문제행동 분석: 아이가 고집을 부리는 이유는 부모가 아이의 말을 귀담아듣지 않고 억지로 끌고 가거나 화를 내면서 야단치기 때문입니다. 이로 인해 아이는 부모가 약속을 지키지 않는다고 느끼고, '약속은 꼭 지켜야 한다'는 명제를 더욱 마음속에 새기게 됩니다. 이러한 경직된 생각의 틀은 아이가 성장하면서 다른 사람과 의견이 다를 때에도 자신의 생각이 옳다고 고집하는 성향을 강화시킵니다.
   해결방안: 부모는 우선 아이의 말을 귀담아들어 주어야 합니다. 아이가 말하고 싶어 하는 것을 주의 깊게 들어주면서 아이를 잘 이해시키고 설득해야 합니다. 아이가 잘 이해하지 못하면 일요일에 보게 해 준다든가, 다른 날 보너스로 조금 더 시간을 늘려서 볼 수 있게 해 준다든가 하는 타협안을 제시하면서 아이를 설득해야 합니다. 또한, 아이가 자기 주장만 내세우는 것이 다른 사람에게 어떻게 비치는지, 타인과 의견이 다를 때에는 어떻게 해야 하는지 가르쳐 주어야 합니다. 평소 상대방의 입장에서 생각하고 행동하도록 교육하는 것이 중요합니다."
한번 웃기 시작하면 지칠 때까지 멈추지를 않아요,"1. 아이의 문제행동: 한번 웃기 시작하면 지칠 때까지 멈추지 않습니다.
   문제행동 분석: 아이가 감정을 조절하는 능력이 부족하여, 웃음과 같은 감정이 과도하게 표현되는 상황입니다. 이는 자극에 대한 즉각적인 반응으로, 자극을 받은 후에 신중하게 생각하지 않고 바로 감정을 표현하는 경향이 있습니다. 이러한 행동은 아이가 이전에 비슷한 상황에서 혼난 경험이 있더라도 반복될 수 있습니다.
   해결방안: 아이에게 자기 감정을 조절하는 방법을 가르쳐야 합니다. 먼저, 자극을 받은 후 즉각적으로 반응하기보다는 잠시 생각해보는 습관을 들이도록 지도합니다. 예를 들어, ""계속 웃으면 어떤 일이 벌어질까?""라는 질문을 스스로 해보게 하여, 그 답을 생각해보도록 유도합니다. 또한, 이전에 너무 많이 웃어서 혼났던 경험을 떠올리게 하여, 비슷한 상황에서 감정을 조절할 수 있도록 도와줍니다. 부모는 아이가 감정을 조절할 때 긍정적인 피드백을 주고, 감정 조절의 중요성을 지속적으로 강조해야 합니다."
